priority,kind,page,line,target,alt,nav_rank,status,reason,capture_instruction,lead_in_to_delete
P2,image,content_management/create_edit_content_items.md,213,ai_assistant_online_editor.png,Improve text button and AI actions,14,done,"'the Improve text button is visible in the online editor's toolbox' refers to an unlabelled sparkle icon, and the list of configured AI actions only exists in the drop-down. RETAKE NOTE: the AI actions panel has a fixed 300px max-height, so ""Go to AI actions"" sits below its scroll fold; shot with the search box and all seven actions visible. Numbered badges 1-2 still need a human with Snagit.","In an Article draft's Rich Text field, select one dummy paragraph, click the sparkle 'Improve text' button in the editor toolbar and leave the action list open (8 AI actions are configured on the instance) so the search box, the actions and 'Go to AI actions' are all visible. Crop to the toolbar, the selected passage and the open list. Needs human annotation: the numbered badges 1 (Improve text button) and 2 (selected action) cannot be reproduced without Snagit.",
P2,image,content_management/create_edit_content_items.md,217,ai_assistant_textline.png,Ai Assistant visible in Text Line field,14,done,"The prose only says the AI Assistant 'is also available when working with Text Line and Text Block fields'; the shot shows the sparkle icon sitting inside the field itself, which is where readers fail to find it.","In a content item draft (for example an Article), fill the Title Text Line field with realistic dummy text, click the sparkle icon at the right-hand edge of that field and leave the AI actions list open. Crop to the top of the edit form (Title plus the next one or two fields) together with the open list; exclude the left anchor panel and the top action bar. Needs human annotation: 2 px #FF4713 frame around the sparkle icon.",
P2,image,content_management/create_edit_content_items.md,226,ai_assistant.png,AI Assistant,14,removed,"The modal's four controls (Replace, Insert below, Try again, Stop) are each explained in the bullet list around the image, and the modal opens by itself, so nothing about its location or state needs showing.",,
P2,arcade,content_management/create_edit_content_items.md,233,oDRgSawmcExFx2NUJYbM,Use AI to expand the body text,14,removed,"All 29 Arcade embeds are being removed; the preceding block is a note about lengthy processing, not a lead-in to the video.",,
P2,image,content_management/create_edit_content_items.md,243,img/online_editor_link_siteaccess_picker.png,Selecting SiteAccess for cross-website linking,14,done,"The SiteAccess selector is one field inside the link pop-up that opens from an icon in the editor toolbar, a nested location the sentence cannot pinpoint, and the drop-down is the subject.","In an Article draft's Rich Text field, select a phrase, click the link icon in the editor toolbar, in the Link pop-up click Select content and pick an existing content item, then open the 'Site access' drop-down so all available SiteAccesses are listed. Keep the editor toolbar and the underlined selected text visible behind the pop-up. Crop to the field, the pop-up and the open drop-down. Needs human annotation: 2 px #FF4713 frames around the link icon and around the Site access drop-down.",
P2,image,content_management/create_edit_content_items.md,254,img/taxonomy_select_taxonomy_entries.png,Selecting Taxonomy entries,14,blocked,"Blocked on content model: the tag tree is now seeded (Topics with four child tags) on the local non-SaaS 6.0 instance, but no content type there has a Taxonomy Entry field in a Metadata section - the Article editor has no Meta tab and no Select path button - so the step the shot documents cannot be performed. Needs that field added to a content type.","Content -> Content structure -> edit a content item whose content type has a Metadata section with a Taxonomy Entry field, switch to the Meta tab, click Select path and capture the tag-selection pop-up with a multi-level tag tree expanded and two or three tags selected. Keep the Meta tab and the Tags field of the parent edit screen visible behind the pop-up; crop to the edit form plus the pop-up and exclude browser chrome.",
P2,image,content_management/create_edit_content_items.md,260,img/taxonomy_suggestions_content.png,Taxonomy entries suggested by the AI Assistant,14,removed,Inside a note whose sentence already says you 'click AI Suggest category and pick from suggestions made by the AI Assistant'; the modal of suggested chips adds no location or state information.,,
P2,arcade,content_management/create_edit_pages.md,47,d4T5EgOwz6bri2Zgy53M,Edit existing page,15,removed,All 29 Arcade embeds are being removed.,,"L45: KEEP - 'To edit an existing page, in the back office, from the content tree, choose the page that you want to edit, and click the Edit button.' is the section's own instruction and stands without the video."
P2,arcade,content_management/create_edit_pages.md,54,kbdnGkdrkXL2VAJW6c3O,Page Builder interface,15,removed,All 29 Arcade embeds are being removed.,,"L51-52: KEEP - 'Page Builder has a plain and intuitive interface. You can create pages without having advanced technical skills.' introduces the Page Builder interface section itself, not the video."
P2,image,content_management/create_edit_pages.md,56,img/page_builder_interface.png,Page Builder interface,15,done,"It is the anchor image for the A-E legend below it, which names five screen regions that only make sense against a picture of the whole Page Builder layout. RETAKE NOTE: the lettered badges A-E keyed to the legend still need a human with Snagit.","Content -> Content structure -> open a Landing page and click Edit to open Page Builder; add two or three blocks (for example Text, Form, Gallery) so the drop zone is not empty, and leave the Structure view panel open on the right. Capture the full Page Builder viewport at 1600x1000: the dark top bar with Close/Send to review/Publish/Save draft, the settings and device toolbars, the populated drop zone and the right-hand toolbox. Needs human annotation: the lettered badges A-E keyed to the legend cannot be reproduced without Snagit.",
P2,image,content_management/create_edit_pages.md,74,page_builder_toolbar_editpreview.png,Fields button,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,75,page_builder_toolbar_switch_layout.png,Switch layouts,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,76,page_builder_toolbar_preview_segment.png,Preview segments,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,77,page_builder_toolbartimelinetoggler.png,Timeline button,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,78,page_builder_toolbar_devicestoggler.png,View toggler,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,79,page_builder_toolboxelements.png,Page blocks toolbox,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,80,page_builder_toolbar_undo.png,Undo,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,81,page_builder_toolbar_redo.png,Redo,15,icon-exempt,"A single ~54 px toolbar button glyph rendered in a cell of the button/description table, not a product screenshot, so the rebranding almost certainly left it unchanged.",,
P2,image,content_management/create_edit_pages.md,87,img/page_blocks_toolbox.png,Page blocks toolbox,15,done,"The Page blocks palette is the source of every drag-and-drop in the rest of the page, and its category grouping and the view-toggle icons that open it are not described anywhere in the prose.","In Page Builder on a Landing page, click the 'add block' (square with plus) icon at the top right to show the Page blocks toolbox. Crop to the toolbox panel including the two view-toggle icons above it, the Search box and enough of the grouped block list (Commerce, Customer Portal, default) to show the grouping; keep a narrow strip of the page preview on the left for context.",
P2,image,content_management/create_edit_pages.md,91,img/structure_view.png,Structure view toolbox,15,removed,"The one-line bullet describes the tree fully, the labelled interface shot at line 56 already marks this panel (B), and structure_view_move.png at line 118 shows the same panel populated with blocks.",,
P2,image,content_management/create_edit_pages.md,118,structure_view_move.png,Structure view toolbox - reorder blocks,15,done,"The third reorder bullet sends the reader to a three-dots menu on a row of the Structure view tree, a nested and non-obvious location, and the menu is the subject.","In Page Builder on a page holding at least three blocks, switch to the Structure view toolbox (tree icon, top right), hover one block row and click its three-dots icon so the Move up / Move down menu is open. Crop to the Structure view panel: the drop zone node, its child block rows and the open menu; exclude the page preview. Needs human annotation: 2 px #FF4713 frame around the three-dots icon.",
P2,image,content_management/create_edit_pages.md,123,drop_zone_line.png,Drop zone line,15,done,"'Before you drop it, a bold line appears' is a transient drag state - the insertion line, the highlighted zone and the dragged tile only exist mid-drag and cannot be conveyed in words.","In Page Builder on a page that already holds two blocks, drag a third block (for example Banner) from the Page blocks toolbox and hold it between the two existing blocks so the bold blue insertion line and the dragged tile are both visible; capture mid-drag. Crop to the drop zone only: the zone label, both existing blocks, the insertion line, the dragged tile and the 'Drag and drop blocks here' placeholder.",
P2,image,content_management/create_edit_pages.md,128,block_properties.png,Block properties,15,removed,"It only illustrates the sentence above it ('the block settings panel open immediately'), and the per-block fields it shows are documented in Block reference; the sample also depends on a Personalization scenario, which is upsell-only on this instance.",,
P2,image,content_management/create_edit_pages.md,133,img/user_settings.png,User settings,15,done,"'access your user settings on the right side of the top bar' points at an avatar with no label, and the drop-down that holds the User settings entry is the subject.","In the back office, click your avatar at the far right of the top bar and leave the menu open (Logged as ..., User settings, Logout). Crop tightly to the top-right corner: the search field, the bell and avatar icons and the whole open menu; do not include the empty page area below the bar.",
P2,image,content_management/create_edit_pages.md,139,img/user_settings_blocks.png,User settings - blocks,15,done,"The 'Automatically open block settings in builders' setting is one row among many in the My preferences Edit section, so the shot shows which of the look-alike drop-downs to change.","Avatar menu -> User settings -> My preferences tab -> Edit section, then click the Edit icon to switch the section into edit mode. Crop to the Edit section so the 'Automatically open block settings in builders' drop-down is visible together with its neighbouring settings and the Save button; drop the tall empty area under the page title. Needs human annotation: the numbered badges 1 (the setting) and 2 (Save) cannot be reproduced without Snagit.",
P2,image,content_management/create_edit_pages.md,156,img/block_settings_menu.png,Block toolbar,15,done,"'Hover over the block and the toolbar appears' is a hover-only visual state, and the seven actions listed below the image live behind the three-dots icon, so the menu must be shown open.","In Page Builder on a page with a Text block, hover the block so its blue toolbar appears, then click the three-dots icon and leave the menu open so every action named in the list below the image (Move up, Move down, Block settings, Copy, Duplicate, Refresh, Delete) is visible. Crop to the block toolbar, the open menu and the top of the block inside its drop zone. Needs human annotation: 2 px #FF4713 frame around the three-dots icon.",
P2,image,content_management/create_edit_pages.md,168,img/block_window_size_adjust.png,Block window - size adjustment,15,removed,"It is dropped after the list of block toolbar actions but its subject, the resize border, is only described 35 lines later ('When you hover over the window frame, blue line appears'), which that sentence covers on its own; the panel shown is also empty.",,
P2,image,content_management/create_edit_pages.md,182,img/page_builder_page_blocks_clipboard.png,The clipboard section containing a Code block,15,done,"The Clipboard section only exists after a block is copied and appears at the top of the Page blocks toolbox, a state and location the reader cannot guess from 'it gets saved in the Clipboard section'.","In Page Builder, hover a configured block (for example Code or Text), open its three-dots menu and click Copy, then open the Page blocks toolbox: the Clipboard section appears above the block groups holding the copied block. Crop to the toolbox panel from the Search box down through the Clipboard section and the first two block groups. Needs human annotation: 2 px #FF4713 frame around the Clipboard section.",
P2,arcade,content_management/create_edit_pages.md,184,NqvkgfWoNZkynskJxHEn,Copy option and Clipboard,15,removed,All 29 Arcade embeds are being removed; the paragraphs before it explain the clipboard itself and are not a lead-in to the video.,,
P2,image,content_management/create_edit_pages.md,191,img/block_settings_icon.png,Block settings icon,15,removed,"Near-identical crop of the same hover toolbar already shown at line 156, differing only in which icon is framed, so it is intra-page duplication.",,
P2,image,content_management/create_edit_pages.md,222,img/edit_embedded_content_item.png,Edit embedded content item,15,done,"'click the icon on the right side and click Edit' refers to a three-dots icon on a row inside the block settings panel, a nested non-obvious location, and the menu is the subject.","In Page Builder, add a Collection block (use Collection, not the Product collection block shown today - the instance has zero products and no product types), select three existing content items, then click the three-dots icon on one row of the block's item list and leave the 'Go to content' / 'Edit' menu open. Crop to the block settings field holding the list plus the open menu; exclude the page preview. Needs human annotation: 2 px #FF4713 frame around the three-dots icon.",
P2,image,content_management/create_edit_pages.md,230,img/edit_item_select_language.png,Edit embedded content item - select language,15,removed,"Near-duplicate of the preceding shot with a language submenu added, while 'If the content item has more than one translation available, you need to select the language' says all the reader needs.",,
P2,image,content_management/create_edit_pages.md,250,img/distraction_free_mode.png,Distraction free mode,15,removed,Same asset and same purpose as on create_edit_content_items.md: a wide editor shot that only illustrates the sentence 'expands the workspace to full screen and shows only editor toolbar'.,,
P2,image,content_management/create_edit_pages.md,254,img/access_distraction_free_mode_PB.png,Access distraction free mode,15,done,"In Page Builder the control sits inside the block settings panel above the Rich Text area, a different and easily missed position from the content item editor, so it shows where to click in this context.","In Page Builder, add a Text block, open its Block settings and paste two or three dummy paragraphs into the Content Rich Text field. Crop to a strip of the settings panel: the 'Content' label on the left, the 'Distraction free mode' control at its right and the first lines of the text below. Needs human annotation: 2 px #FF4713 frame around the Distraction free mode control.",
P2,image,content_management/create_edit_pages.md,258,img/exit_distraction_free_mode.png,Exit distraction free mode,15,removed,"Same asset as on create_edit_content_items.md: a labelled button plus the in-app banner that repeats 'click Exit distraction free mode or press Esc', in a 3320x230 strip that cannot be shown legibly.",,
P2,image,content_management/block_reference.md,39,img/page_blocks_toolbox.png,Page blocks toolbox,16,removed,"The image and the two bullets around it are copied verbatim from create_edit_pages.md, where the Page Builder views are explained and this shot is kept; on a block reference page it is cross-page duplication.",,
P2,image,content_management/block_reference.md,43,img/structure_view.png,Structure view toolbox,16,removed,Copied verbatim from create_edit_pages.md and the one-line bullet describes the tree fully; the page structure tree is also beside the point on a page that documents individual blocks.,,
P2,image,content_management/block_reference.md,55,img/block_settings.png,Block settings,16,done,"'Click on the settings icon next to the block's name' refers to a hover-only toolbar of unlabelled icons, and the six settings listed below are split between that toolbar and the overflow menu, so both must be visible.","In Page Builder on a page with at least one configured block (for example Orders or Text), hover the block so its blue toolbar appears (drag handle, up and down arrows, gear, three dots), then open the three-dots menu showing Duplicate, Refresh and Delete block. Crop to the drop zone with the block toolbar and the open menu, keeping the 'Drag and drop blocks here' placeholder for context. Needs human annotation: 2 px #FF4713 frame around the gear (Block settings) icon that the text tells the reader to click.",
P2,image,content_management/block_reference.md,248,img/page_builder_segment_preview.png,Previewing page for a given segment,16,done,"'You can preview the page for each of the available segments' is the section's only pointer to a feature reached through an unlabelled toolbar icon, and the Segments panel that lists the segment groups is the subject. RETAKE NOTE: two segment groups (Corporate Accounts, Visitor intent) with two segments each were seeded first - the panel was an empty state before that.","In Page Builder on a Landing page, click the segment-preview (person) icon in the settings toolbar to open the Segments panel. Crop to the dark top bar, the settings toolbar with the segment icon active and the full Segments panel so the None option and every segment group with its segments are visible (Segments are configured on this instance); exclude the page preview area below.",
P2,image,content_management/preview_content_items.md,15,page_builder_toolbar_preview_segment.png,Preview segments,17,icon-exempt,"A 54x54px single toolbar glyph rendered inside an Icon/Description table cell on line 15, not a product screenshot.",,
P2,image,content_management/preview_content_items.md,16,page_builder_toolbartimelinetoggler.png,Timeline button,17,icon-exempt,"A 54x54px single toolbar glyph rendered inside an Icon/Description table cell on line 16, not a product screenshot.",,
P2,image,content_management/preview_content_items.md,26,page_builder_toolbar_devicestoggler.png,View toggler,17,icon-exempt,"A 174x54px isolated three-button device-width control shown on its own under the tip, a glyph strip rather than a captured screen.",,
P2,arcade,content_management/preview_content_items.md,34,5Y1i3W29Jsg6J0za71GL,"Preview an article,",17,removed,All 29 Arcade embeds are being removed; the embed sits after the self-contained bullet list on lines 30-32 with no introducing sentence.,,
P2,image,content_management/translate_content.md,32,img/translate_from_content_tree.png,Starting the translation from the content tree,18,done,"Step 1 on line 30 offers two entry points but does not say that 'Add translation' is buried in the content tree's three-dots context menu, so the shot supplies a non-obvious location; it also shows the old 'Ibexa Digital Experience Plat...' tree root and needs human annotation for the numbered badges 1-4 (Snagit unavailable).","Log in to https://piano.stg.cohesivo.app/, go to Content > Content structure, select any content item in the content tree, click the three dots icon next to it and leave the context menu open. Crop to the left menu + content tree + the open context menu, keeping the item's details screen partially visible on the right; exclude the top bar. Annotation: badges 1 on the Content menu icon, 2 on 'Content structure', 3 on the three dots icon, 4 on the 'Add translation' entry, plus a #FF4713 highlight on 'Add translation'.",
P2,image,content_management/translate_content.md,48,img/translations_create_translation.png,Create a new translation modal,18,blocked,"Blocked on configuration: the 'Create a new translation' modal on the local non-SaaS 6.0 instance does show the 'Use automatic translation' checkbox, but it is disabled with 'To enable automatic translation, contact your administrator' - the instance ships auto-translate AI actions for OpenAI, Gemini and Anthropic but OPENAI_API_KEY is a placeholder, so no provider is enabled and the provider drop-down the shot is about never renders.","Once translation providers are configured: Content > Content structure > select a content item > Translations tab > + Add. In the 'Create a new translation' modal pick a source and target language, tick 'Use automatic translation' and open the provider drop-down so all providers and the search field are visible. Crop to the modal with the parent editing screen greyed out behind it; exclude the browser chrome.",
P2,image,content_management/translate_content.md,79,img/version_compare_icon.png,Version Compare Icon,18,icon-exempt,"A 38x36px glyph rendered mid-sentence with the {.inline-image} class inside step 3, a single icon rather than a product screenshot.",,
P2,image,content_management/translate_content.md,83,img/view_switcher.png,View switcher,18,icon-exempt,"A 240x70px isolated two-segment Split/Unified toggle lifted out of the screen, a control glyph rather than a capture of the running app.",,
P2,image,content_management/translate_content.md,88,img/compare_translations.png,Compare translations screen,18,done,"Step 5 says the screen 'refreshes to display the side by side view of its fields', a spatial arrangement of two language columns with their own version drop-downs that words do not convey; the current shot still carries a 'Language select placeholder' bug and pre-rebranding chrome. RETAKE NOTE: ger-DE and fre-FR were added under Admin > Languages and the article was translated into German and published. The ""Language select placeholder"" bug the reason column mentions is still present in this version. The Intro field reads the same in both columns - the German Intro did not persist through publish.","Admin > Languages > Add language (e.g. ger-DE) if needed, then translate one of the five existing content items manually and publish it so two published language versions exist. Disable Focus mode, open the content item, go to Versions tab, click the Version compare icon, switch to Split, and choose 'Published - Version N - English (United Kingdom)' on the left and the German version on the right. Crop to the Comparing versions header row plus the first two or three compared fields; exclude the left menu.",
P2,image,content_management/translate_content.md,125,img/translations_management_language_pairs.png,Creating a language pair,18,blocked,Blocked on configuration: the mandatory 'Translation service' field cannot be filled because no translation provider is enabled (the local non-SaaS 6.0 instance has auto-translate AI actions configured but no working API key). Also needs human annotation for the numbered badges 1-4.,"Once translation services are enabled: Admin > Languages > Language pairs tab > + Add language pair. Select a source language, open the 'Target languages' multi-select and tick two languages so the expanded list is visible, and select a translation service. Crop to the whole 'New language pair' pane including the Save and close / Discard buttons. Annotation: badges 1 on Source language, 2 on Target languages, 3 on Translation service, 4 on Save and close.",
P2,image,content_management/translate_content.md,166,img/managing_translations_sxs_view.png,Side-by-side translation view,18,done,"The section defines the view by its geometry - a read-only source column beside an editable target column, with anchors and per-field AI icons - which is exactly the spatial relationship lines 158-164 describe but cannot show. BLOCKED: the side-by-side translation editor is not available on this instance. The ""Create a new translation"" dialog offers only Source language / Target language / Create / Cancel - there is no ""Open side-by-side"" action, no automatic-translation checkbox, and no side-by-side preference under User settings. RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000), which does offer the side-by-side translation editor (Translations tab > Add > Open side-by-side). German and French were added as site languages first.","Admin > Languages > add a second language (e.g. ger-DE). Content > Content structure > select a content item with several fields > Translations tab > + Add, pick English as source and German as target with automatic translation unchecked, click 'Open side-by-side', and fill in a few target fields with realistic dummy text. Crop to the full side-by-side editor from the title bar (Publish / Preview / Delete draft / Save and close) down through the first three or four field pairs; exclude the browser chrome and any review banner.",
P2,image,content_management/translate_content.md,172,img/translations_distraction_free_mode.png,Distraction-free mode,18,done,"Line 170 mentions synchronized scrolling of longer texts; the shot is needed to show the unlabeled sync-scroll control that sits on the divider and the two synchronized panels, neither of which the sentence locates. BLOCKED: depends on the side-by-side translation view, which this instance does not offer (see managing_translations_sxs_view.png). RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000); distraction-free mode on the Body field with the sync-scroll button hovered. Highlight drawn with ImageMagick rather than Snagit.","In the side-by-side translation view (see the previous row), put several paragraphs of dummy text in the source and target rich-text fields, then click 'Distraction free mode' on the Body field. Hover the sync-scroll button on the divider so its 'Sync scrolling between both panels' tooltip shows. Crop to the distraction-free overlay including the blue 'To exit distraction free mode' bar and both text panels. Annotation: a #FF4713 ring around the sync-scroll button (the current red circle needs human annotation, Snagit unavailable).",
P2,image,content_management/translate_content.md,179,img/translations_select_source.png,Source language selection,18,done,"The drop-down is the subject of the section, so per the guidelines it must be captured expanded showing every selectable source language - a visual state the two sentences on lines 176-177 cannot convey. BLOCKED: depends on the side-by-side translation view, which this instance does not offer (see managing_translations_sxs_view.png). ger-DE and fre-FR are now configured, so only the view itself is missing. RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000) on a French translation whose content already has English and German published, so the Source language drop-down has two options and a check mark.","Admin > Languages: make sure at least three languages exist (eng-GB, ger-DE, fre-FR) and that the content item has two or more published language versions. Open the side-by-side view for a third language, then click the 'Source language' drop-down at the top of the source column so all available source languages and the check mark on the current one are visible. Crop to the top strip of both columns (Source language drop-down open, 'Target language: ...' label and the first target field); exclude everything below the first field.",
P2,image,content_management/translate_content.md,187,img/translations_copy_source.png,Copy all from source button,18,done,"Line 183 says only that 'the divider between the source and target columns contains a Copy all from source button'; the button is a tiny unlabeled glyph on the divider, so the shot supplies a non-obvious location the words cannot. BLOCKED: depends on the side-by-side translation view, which this instance does not offer (see managing_translations_sxs_view.png). RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000); 'Copy all from source' tooltip on the divider button. Highlight drawn with ImageMagick rather than Snagit.","Open the side-by-side translation view for a content item, then hover the small button on the vertical divider between the columns so its 'Copy all from source' tooltip appears. Crop to a horizontal band covering both column headers and the first field pair, centred on the divider button; exclude the page title bar. Annotation: a #FF4713 ring around the divider button (currently a red circle, needs human annotation).",
P2,image,content_management/translate_content.md,201,img/translations_collapse_source.png,Collapse source button,18,done,"Line 198 ties the button to the non-default layout where the source sits on the right; the shot shows both that layout and the unlabeled collapse glyph on the divider, which the sentence only names. BLOCKED: depends on the side-by-side translation view, which this instance does not offer (see managing_translations_sxs_view.png). RETAKE NOTE: Shot on the local non-SaaS 6.0 instance (localhost:8000) after switching User settings > Browsing > Side-by-side layout to 'Source language on the right'; the setting was switched back afterwards.","In User settings, switch the side-by-side source column to the right. Open the side-by-side translation view for a content item, then hover the button on the divider so its 'Collapse source language' tooltip shows. Crop to a narrow band containing 'Target language: ...' on the left, the divider button with tooltip, and the 'Source language' drop-down on the right. Annotation: a #FF4713 ring around the divider button (needs human annotation).",
P2,image,content_management/translate_content.md,247,img/translations_review_status.png,Review status badges in the Versions tab,18,blocked,"Blocked on configuration: the 'Translated' and 'For review' badges only exist on drafts created by automatic translation, which needs an enabled translation provider; none is available on either instance.","Once translation services are enabled: create two automatic draft translations of one content item, accept one of them, and add a third manually translated draft so a badge-less row is visible for contrast. Disable Focus mode, open the content item and go to the Versions tab. Crop from the content item title and tab bar down through the Open drafts table and the Published version row so the Translation status column and all three badge states are visible.",
P2,image,content_management/translate_content.md,251,img/translations_review_banner.png,Review banner in the side-by-side view,18,blocked,"Blocked on configuration: the review banner only appears on a draft whose translation status is 'For review', which requires an automatic translation; no translation provider is enabled on either instance.","Once translation services are enabled: create an automatic translation of a content item, reopen that draft in the side-by-side view so the review banner appears at the bottom. Crop to a band containing the bottom of both text columns and the whole dark review banner with the content item name and the Accept and Reject actions; exclude the rest of the editor.",
P2,arcade,content_management/work_with_forms.md,14,6TuwPfbDTXTo6SnYSiyW,Form Builder interface,19,removed,"All 29 Arcade embeds are being removed; the sentence above it introduces the Form Builder itself rather than the recording, so only the iframe goes.",,"L12: KEEP - ""You can create a form with a visual drag-and-drop editor, the Form Builder."" names the tool and its drag-and-drop nature and is the lead-in to the whole page, so it survives without the video."
P2,image,content_management/work_with_forms.md,31,img/select_form.png,Select form,19,removed,"Step 2 on lines 26-29 already enumerates both fields of the slide-out pane ('Select a language', 'Select a content type', then Form and Create), so the shot only illustrates what the text states and shows nothing non-obvious.",,
P2,image,content_management/work_with_forms.md,35,img/build_form.png,Build form,19,removed,Step 3 on line 33 is 'Provide the title and click Build form' and the image shows only a Title field and a Build form button - a literal restatement with no non-obvious location or state.,,
P2,image,content_management/work_with_forms.md,40,img/drag_form_fields.png,Drag form fields,19,done,"Step 4 on line 37 refers to the image's labels directly ('Drag (A) or click (B)'), so the prose is unfollowable without it; the shot needs human annotation because the A/B badges and the drag arrows cannot be reproduced without Snagit. RETAKE NOTE: shot as the single (A) drag state - insertion line in the canvas, palette entry emptied. The two-panel A/B composition with circled letters and curved arrows still needs a human with Snagit.","Content > Form > Create content > Form, give it a title, click Build form. Capture two states of the Form Builder side by side: (A) a 'Single line input' being dragged from the Fields palette into the canvas, (B) the same palette entry being clicked with the cursor on it. Crop each to the Build form modal from its dark header down to the palette's 'File' entry; exclude the browser chrome. Annotation: circled letters A and B above the two panels and curved arrows showing the drag path in panel A - needs human annotation.",
P2,image,content_management/work_with_forms.md,44,img/form_settings.png,Form settings,19,done,"Step 5 on line 42 says only 'Click on the Settings icon'; the icon is an unlabeled gear that appears on the field row itself inside the builder canvas, so the shot supplies a location the sentence does not give.","Open the Form Builder for a form (Content > Form > select form > Edit > Build form), add a 'Single line input' field, then hover its row so the gear and X icons appear and the 'Settings' tooltip is shown. Crop tightly to that single field row plus the tooltip; exclude the palette and the modal header.",
P2,image,content_management/work_with_forms.md,49,img/form_builder_button.png,Options of a Form submission button,19,done,"Lines 46-47 say the Button field offers 'one of a few options of what is shown to the user' without listing them, and the drop-down is the subject of the shot, so per the guidelines the Action drop-down must be captured expanded - the current image has it collapsed and therefore shows none of the options.","In the Form Builder add a 'Button' field, click its Settings gear to open the Button panel, then open the 'Action' drop-down so every option ('Show a message', redirect, and so on) is visible. Crop to the whole Button settings panel from its 'Button' header down to the Submit / Discard buttons, keeping the form canvas visible behind it; exclude the browser chrome.",
P2,arcade,content_management/work_with_forms.md,71,YayMqLkQ6QeCZFeVyQxp,Build a form,19,removed,All 29 Arcade embeds are being removed; the embed follows step 11 of the numbered procedure with no sentence introducing it.,,
P2,image,content_management/work_with_forms.md,82,img/form_builder_submissions.png,Form Builder submissions,19,blocked,"Blocked on environment: the form has no submissions and none can be produced - the Form block cannot be dropped onto a Page Builder zone from automation, so there is no rendered form to submit through.","Publish a form with a few fields, then submit it two or three times (through the site or the Page Builder preview) so the table is populated with realistic dummy entries. Open Content > Form > that form and select the Submissions tab. Crop from the content item title and tab bar down through both submission rows so the Submissions (n) header, the download and delete icons and the per-row eye icon are all visible; exclude the left menu.",
P2,image,content_management/work_with_forms.md,92,img/build_newsletter.png,Build newsletter,19,removed,"Step 2 on line 90 is 'Enter Newsletter as a title and click Build form' and the image is the same empty Title + Build form pane already shown on line 35, so it is a duplicate that only restates the sentence.",,
P2,image,content_management/work_with_forms.md,96,img/newsletter_fields.png,Basic form fields,19,removed,"Step 3 on line 94 already lists the five field types to add, and the image is just that same list rendered as builder rows - no non-obvious location, relationship or state.",,
P2,image,content_management/work_with_forms.md,106,img/newsletter_settings.png,Newsletter settings,19,removed,"Step 4 on lines 100-104 spells out every field name to enter, and the image is only the resulting list of renamed rows, so it illustrates what the text already states.",,
P2,image,content_management/work_with_forms.md,112,img/newsletter_add_to_page.png,Add to page,19,done,"Step 6 on line 110 says to open Page Builder and drag the Form block onto a zone; the shot shows the Elements palette on the right, the block being dragged and the 'Drop block here' target - a spatial relationship the sentence cannot convey. RETAKE NOTE: full Page Builder window with the dark top bar and the Page blocks palette; the floating dragged block is not painted by Playwright, and the Form block would not drop into the zone from automation.","Content > Content structure > select a Landing page > Edit to open Page Builder. Open the Elements panel, start dragging the 'Form' block from the 'default' group towards an empty zone so both the palette entry and the floating block plus the 'Drop block here' placeholder are visible. Crop to the full Page Builder window including its dark top bar and the Elements panel; exclude the browser chrome.",
P2,image,content_management/work_with_forms.md,117,img/newsletter_button_submit.png,Block settings,19,removed,"Step 7 on lines 114-115 names every control to click, and the image does not even show the described state (it shows a 'Change' button because a form is already selected, not the 'Select content' button), while the Page Builder layout is already covered by the shot on line 112.",,
P2,image,content_management/work_with_forms.md,121,img/newsletter_result.png,Newsletter form,19,removed,"Line 119 is 'Now, you can see a Newsletter form on your page' - a decorative outcome shot of the fields the reader has just been told to add, with no non-obvious location or state.",,
